code,trench,lat_proj,province,sim_prov,plate,geol_prov,anions,cations,temp,do,spc,ph,dic,dic_d13,doc,doc_d13,toc,toc_d13,tc,tc_d13,co2,s,he,h2,o2,ar,n2,ch4,co,co2_d13,rc_ra,low_pah,hi_pah,pah,ah,prot,cho,lip,cha,feo,cpe,al_ac,cr_ac,mn_ac,fe_ac,ni_ac,cu_ac,zn_ac,cd_ac,ag_ac,co_ac,f,cl,so4,br,no3,po4,li,na,nh4,k,mg,ca,si,al_s,cr_s,mn_s,fe_s,ni_s,cu_s,zn_s,cd_s,ag_s
EP,74.29195557,9.287061523,Outer Forearc,Forearc,smooth,1,iw,g2,26.4,4,198.2,9.99,0.55,-21.57,0.22,-25.48,3.1,-27.89,1.4,-26.74,0,0,0,0.08637,29.17423,24.56759,942.35128,3.82052,0,NA,NA,0.025,0.2,3.8,4.69,0.8943001807,0.18156,0.6567201204,12.38269197,0.5271898232,0.2223330844,0.7714089387,0.1222138885,0.0319198432,0.07786737175,0.0002395835978,0.007667604737,0.03247313786,0.005211578947368,0.2339501408,0.03004984391,0,0.04682032258,0.0005838947368,0.0005971428571,1.248731739,0.001283888889,0.03935780051,0.4939938272,0.4751009975,NA,70.1,229.9,1665.1,122.2,118.1,159.9,144.4,0.292,0.98,,,
EP,74.29195557,9.287061523,Outer Forearc,Forearc,smooth,1,iw,g2,26.4,4,198.2,9.99,0.55,-21.57,0.22,-25.48,3.1,-27.89,1.4,-26.74,0,0,0,0.08637,29.17423,24.56759,942.35128,3.82052,0,NA,NA,0.025,0.2,3.8,4.69,0.8943001807,0.18156,0.6567201204,12.38269197,0.5271898232,0.2223330844,0.7714089387,0.1222138885,0.0319198432,0.07786737175,0.0002395835978,0.007667604737,0.03247313786,0.005211578947368,0.2339501408,0.03004984391,0,0.04682032258,0.0005838947368,0.0005971428571,1.248731739,0.001283888889,0.03935780051,0.4939938272,0.4751009975,NA,70.1,229.9,1665.1,122.2,118.1,159.9,144.4,0.292,0.98,,,
ES1,74.08223781,9.285917438,Outer Forearc,Forearc,smooth,1,iw,g3,27.9,48.3,226.7,9.75,1.14,-17.98,1.57,-24.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.962744255,0.506125822,0.03944191919,0.686488501,0.07543438077,0.01844597423,0.06472062397,0.0001562500553,0.006330455833,0.02645958764,0.011016842105263,1.06332,0.1559355879,0.00053175,0.08072983871,0.0007451578947,0.0002214285714,2.292455652,0.5920227778,0.1396800512,0.03817489712,0.3075261845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
ET1,173.292858,9.049541842,Arc,Arc,smooth,4,gw,g2,40,13.4,1911,6.06,NA,NA,NA,NA,1.0475886,-28.6769596,1.640584,-27.4539505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025,0.4,8.1,NA,NA,NA,NA,1.151346489,0.5780944083,38.00010641,1.60518005,2.381214776,0.05591920691,0.2050641716,0.004822942808,0.00400163227,0.03187178271,0,8.156303099,1.547502393,0.002444875,0.05326258065,0.003135263158,0.01258857143,4.294620435,0,0.65172711,3.635083951,1.748588529,47.634,114.6,38.4,3434,57.6,36,227.9,100.6,0.826,1.5,,,
FA1,139.5991149,9.181375807,Forearc,Forearc,smooth,3,gw,g3,55.2,10.3,5500,5.93,14.22,2.71,0.98,-6.64,1.227636,-26.4655491,2.9632385,-19.1040767,995.1,0,0.00031,0.0014,0.25019,0.06626,4.51895,0.01853,0,-1.36,4.361179156,23.5,13.2,36.6,273.5,4.65,47.63,2.5,4.342237726,0,4.342237726,1.625030713,0.4872303891,21.69209465,5.809076106,5.995884237,0.184986885,0.3592809139,0.0006979182484,0.006269783427,0.02225010415,0.019291052631579,20.36802141,6.187449844,0.007893375,0.02576387097,0.002933684211,0.2528128571,25.03894217,3.566246111,1.669922762,1.666677366,2.660672319,NA,6.6,6.2,2320.8,360.5,9.2,30.2,900.5,0.024,0.45
MT,152.5540483,9.333031789,Forearc,Arc,smooth,4,gw,g3,59.1,12.4,6150,6.32,21.7,3.55,1.66,-7.38,0.24926,-24.0510152,1.2467601,-4.654307,988.3,0,0.00023,0.00011,2.25954,0.16528,8.50821,0.74033,0,-0.84,3.574919441,10.9,15.6,26.5,31.3,2.85,0.9,1.45,0,0,0,4.752919524,0.5192686416,4.37736151,1.020672847,0.9492957684,0.2839291323,0.4788849234,0.001593754971,0.006379460532,0.02525687793,0.014486842105263,34.42172028,0.1403609781,0.019460875,0,0.001264210526,0.3251257143,34.23772957,0,1.062670077,0.1257711934,0.6963835411,45.766,90.4,17.5,927.7,41.3,18.3,53.7,106.8,0.253,1.04
PB,164.5224097,8.834952797,Arc,Arc,rough,4,vl,g1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9,2.1,14,52.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QH2,106.0944107,8.683509296,Forearc,Forearc,rough,1,dcl,g3,36.7,47.3,2692,8.69,0.11,-17.98,0.22,-22.37,0.9625883,-29.8194801,4.1944778,-27.9711664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.784002057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.369162092,0.5079602285,0.4988312713,1.829645625,2.505139462,0.1091486356,0.06581423931,0.0009479190858,0.004753002002,0.01984468563,0.239206315789474,14.64322479,0.948314256,0.0071385,0.05062935484,0.0004303157895,0.006888571429,10.70151348,0.04985777778,0.135086445,0.02203045267,2.200692269,9.34,72.4,199.2,787.2,68,72.9,102.5,106.1,0.316,1.15
QH1,106.117742,8.683451159,Forearc,Forearc,rough,1,dcl,g3,48.7,2.5,4100,8.53,0.1,-9.93,0.17,-27.58,7.1291951,-22.7558114,21.3400042,-21.261915,0,0,0.00527,0.00287,0.30103,0.4101,23.4689,0.04669,0,NA,3.102987901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.201559718,0.5035597527,0.1775163077,5.729705502,5.443732716,0.1499329997,0.1289671492,0.001197920007,0.004865008588,0.02585823277,0.202046315789474,25.21208028,2.057644017,0.012274625,0.09562903226,0.0005325263158,0.01170285714,17.02247261,2.348051667,0.2274800512,0.02465720165,4.858632668,11.675,NA,NA,NA,NA,NA,NA,NA,NA,NA
QH2,106.0944107,8.683509296,Forearc,Forearc,rough,1,dcl,g3,36.7,47.3,2692,8.69,0.11,-17.98,0.22,-22.37,0.9625883,-29.8194801,4.1944778,-27.9711664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.784002057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.369162092,0.5079602285,0.4988312713,1.829645625,2.505139462,0.1091486356,0.06581423931,0.0009479190858,0.004753002002,0.01984468563,0.239206315789474,14.64322479,0.948314256,0.0071385,0.05062935484,0.0004303157895,0.006888571429,10.70151348,0.04985777778,0.135086445,0.02203045267,2.200692269,9.34,72.4,199.2,787.2,68,72.9,102.5,106.1,0.316,1.15
QN,173.6816697,9.057888451,Arc,Arc,rough,4,iw,g1,22.9,84,196.7,5.6,2.81,-1.95,0.42,-13.82,0.2045144,-24.643724,0.3030315,-21.4826104,926.4,0,0.00427,0.00354,0.77759,0.10627,8.08608,64.67717,0,-2.76,4.89149281,20.6,8.9,29.5,112.7,7.7,1.25,1.12,0,0,0,1.944983923,0.5739095116,4.110804951,1.047733179,0.7912181161,0.02649858349,0.1626398038,0.000677084849,0.004881342907,0.03608126934,0,0.3128501408,0.02948772112,0,0.03859596774,0.001112,0,0.46353,0.519565,0.1191851662,0.2939415638,0.7302600998,23.817,79.9,35.5,1273.4,259.8,20.2,81.8,87.7,0.063,0.58
QN,173.6816697,9.057888451,Arc,Arc,rough,4,iw,g1,22.9,84,196.7,5.6,2.81,-1.95,0.42,-13.82,0.2045144,-24.643724,0.3030315,-21.4826104,926.4,0,0.00427,0.00354,0.77759,0.10627,8.08608,64.67717,0,-2.76,4.89149281,20.6,8.9,29.5,112.7,7.7,1.25,1.12,0,0,0,1.944983923,0.5739095116,4.110804951,1.047733179,0.7912181161,0.02649858349,0.1626398038,0.000677084849,0.004881342907,0.03608126934,0,0.3128501408,0.02948772112,0,0.03859596774,0.001112,0,0.46353,0.519565,0.1191851662,0.2939415638,0.7302600998,23.817,79.9,35.5,1273.4,259.8,20.2,81.8,87.7,0.063,0.58
RS,99.42969087,9.409422993,Outer Forearc,Forearc,smooth,2,gw,g3,29.4,5.6,273.1,9.96,0.25,-16.04,0.3,-24.55,1.1900778,-27.6394389,1.4260331,-27.0295283,0,0,0,0.22825,106.49979,24.29833,868.27984,0.6938,0,NA,2.656188894,330,209,539,94.7,10.69,2.35,3.61,1.718629769,0,1.718629769,14.17343058,0.571250198,0.2932440451,0.6458062352,0.08657330307,0.02774864055,0.06092788407,0.0004062507108,0.005462382134,0.03547991402,0.007140526315789,0.6473185915,0.06500863684,0.000614875,0,0.0007668421053,0,1.603995652,0.008457777778,0.0184258312,0.01088395062,0.08401446384,25.685,73.7,199.9,1865.4,102.9,110.8,138.5,145.9,0.34,1.29
RS,99.42969087,9.409422993,Outer Forearc,Forearc,smooth,2,gw,g3,29.4,5.6,273.1,9.96,0.25,-16.04,0.3,-24.55,1.1900778,-27.6394389,1.4260331,-27.0295283,0,0,0,0.22825,106.49979,24.29833,868.27984,0.6938,0,NA,2.656188894,330,209,539,94.7,10.69,2.35,3.61,1.718629769,0,1.718629769,14.17343058,0.571250198,0.2932440451,0.6458062352,0.08657330307,0.02774864055,0.06092788407,0.0004062507108,0.005462382134,0.03547991402,0.007140526315789,0.6473185915,0.06500863684,0.000614875,0,0.0007668421053,0,1.603995652,0.008457777778,0.0184258312,0.01088395062,0.08401446384,25.685,73.7,199.9,1865.4,102.9,110.8,138.5,145.9,0.34,1.29
RV,175.8828566,8.865674042,Arc,Arc,rough,4,iw,g4,42.7,1.8,45000,6.19,19.73,-0.28,2.87,-4.71,NA,NA,NA,NA,994.3,0,0.00076,0.00025,1.33265,0.08488,4.26537,0.00272,0,-4.8,6.680963707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7545685165,0.5192318791,5.097513,7.242688328,5.289723849,0.1124309621,0.2608963579,0.001281253666,0.004748335067,0.1028318839,0,14.59956423,4.484799376,0.00791425,0,0.002280947368,0.04463285714,14.31491913,0.002714444444,2.577556522,13.53624198,0.397242394,46.7,129.5,38.3,88.7,14.6,10.4,245.7,28.3,0.134,2.32
SI,99.63642052,9.47661829,Outer Forearc,Forearc,smooth,1,iw,g3,35.9,36.2,3469,9.83,2.24,-6.43,0.4,-18.27,4.4480836,-27.4905224,5.9599208,-26.6606266,67.4,0,0.08551,0.00342,4.01363,10.80001,917.73416,0,0,NA,0.392890805,13.8,9,22.8,92,11.21,7.99,11.97,46.39437945,0,46.39437945,5.597937981,0.5133702201,0.8379068072,0.779351736,0.1198227677,0.03094213961,0.1047432291,0.0006979182484,0.00563506202,0.03487855873,0.010515263157895,0.6368552113,0.03013100937,0.00035475,0.02674822581,0.0007331578947,0.00034,1.11079087,0,0.03014731458,0.02273539095,0.1492406484,33.157,74.1,100.3,1065.7,64.3,55.8,69.5,96.6,0.245,0.73
SI,99.63642052,9.47661829,Outer Forearc,Forearc,smooth,1,iw,g3,35.9,36.2,3469,9.83,2.24,-6.43,0.4,-18.27,4.4480836,-27.4905224,5.9599208,-26.6606266,67.4,0,0.08551,0.00342,4.01363,10.80001,917.73416,0,0,NA,0.392890805,13.8,9,22.8,92,11.21,7.99,11.97,46.39437945,0,46.39437945,5.597937981,0.5133702201,0.8379068072,0.779351736,0.1198227677,0.03094213961,0.1047432291,0.0006979182484,0.00563506202,0.03487855873,0.010515263157895,0.6368552113,0.03013100937,0.00035475,0.02674822581,0.0007331578947,0.00034,1.11079087,0,0.03014731458,0.02273539095,0.1492406484,33.157,74.1,100.3,1065.7,64.3,55.8,69.5,96.6,0.245,0.73
SL,140.3008679,9.129323381,Forearc,Forearc,smooth,3,iw,g3,57,22,2824,6.12,5.69,-5.28,6.29,-0.65,3.1447098,-28.5585865,4.1881535,-26.3071606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84,89.5,1565.6,1655.1,78.7,18.08,13.29,3.94,0,0,0,3.168042248,0.5283095691,1.431007095,4.682016968,3.105185261,0.06126558105,0.1289671492,0.002135424211,0.00728255746,0.0306690725,0.081581052631579,3.52374338,5.019929032,0.0017215,0.02654467742,0.001474631579,0.07198285714,11.83016174,0.3100688889,0.5385846547,1.074779424,2.738534414,26.619,70,44.6,761.3,153.8,36,72.2,165.3,0.235,0.69
SL,140.3008679,9.129323381,Forearc,Forearc,smooth,3,iw,g3,57,22,2824,6.12,5.69,-5.28,6.29,-0.65,3.1447098,-28.5585865,4.1881535,-26.3071606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84,89.5,1565.6,1655.1,78.7,18.08,13.29,3.94,0,0,0,3.168042248,0.5283095691,1.431007095,4.682016968,3.105185261,0.06126558105,0.1289671492,0.002135424211,0.00728255746,0.0306690725,0.081581052631579,3.52374338,5.019929032,0.0017215,0.02654467742,0.001474631579,0.07198285714,11.83016174,0.3100688889,0.5385846547,1.074779424,2.738534414,26.619,70,44.6,761.3,153.8,36,72.2,165.3,0.235,0.69
TC1,172.6685219,8.937198679,Arc,Arc,smooth,4,gw,g3,60,18.7,3500,6.24,13.57,-2.36,1.07,-7.94,5.0443663,-28.1660008,10.4543971,-27.5149659,965.4,0,0.01025,0.00027,0.22967,0.62935,32.74274,0.94095,0,-4.54,6.567437499,94.8,71.7,166.5,133.5,31.35,73.82,39.91,-19.90494041,19.90494041,0,0.9766151589,0.6710610076,7.407716018,1.236510741,1.847175862,0.1405313639,0.365682016,0.002052090456,0.003679620819,0.02826365241,0,18.53446676,0.05892986472,0.012649125,0.04803645161,0.001310210526,0.05299428571,12.95616565,1.325659444,1.313599488,2.286909053,1.059998753,44.832,112.8,61.7,2243.4,118.1,34.3,255.5,532.1,0.587,1.78
TC1,172.6685219,8.937198679,Arc,Arc,smooth,4,gw,g3,60,18.7,3500,6.24,13.57,-2.36,1.07,-7.94,5.0443663,-28.1660008,10.4543971,-27.5149659,965.4,0,0.01025,0.00027,0.22967,0.62935,32.74274,0.94095,0,-4.54,6.567437499,94.8,71.7,166.5,133.5,31.35,73.82,39.91,-19.90494041,19.90494041,0,0.9766151589,0.6710610076,7.407716018,1.236510741,1.847175862,0.1405313639,0.365682016,0.002052090456,0.003679620819,0.02826365241,0,18.53446676,0.05892986472,0.012649125,0.04803645161,0.001310210526,0.05299428571,12.95616565,1.325659444,1.313599488,2.286909053,1.059998753,44.832,112.8,61.7,2243.4,118.1,34.3,255.5,532.1,0.587,1.78
