Pathway,Pearson Coefficient,EC Pair
rTCA,0.046999785267763605,1.1.1.37 - 6.4.1.1
rTCA,-0.2664843154254201,1.1.1.42 - 1.2.7.1
rTCA,-0.15245465205854444,1.1.1.42 - 1.3.1.6
rTCA,0.22592499597419946,1.1.1.42 - 1.3.5.1
rTCA,-0.3930995254666006,1.1.1.42 - 1.3.5.4
rTCA,0.18250495432149982,1.1.1.42 - 2.3.3.8
rTCA,-0.07514270909237869,1.1.1.42 - 2.7.9.1
rTCA,0.08804978421130254,1.1.1.42 - 2.7.9.2
rTCA,-0.06397642662047529,1.1.1.42 - 4.1.1.31
rTCA,0.0987842051333575,1.1.1.42 - 4.2.1.2
rTCA,0.6927215919893048,1.1.1.42 - 4.2.1.3
rTCA,0.6162798104610258,1.1.1.42 - 6.2.1.5
rTCA,-0.15324672864001412,1.1.1.42 - 6.4.1.1
rTCA,-0.05261916076622555,1.2.7.1 - 1.3.1.6
rTCA,-0.22570582289922297,1.2.7.1 - 1.3.5.1
rTCA,-0.2159849124613515,1.2.7.1 - 1.3.5.4
rTCA,0.049877173755892665,1.2.7.1 - 2.3.3.8
rTCA,0.44616151368259005,1.2.7.1 - 2.7.9.1
rTCA,-0.14408490493409862,1.2.7.1 - 2.7.9.2
rTCA,-0.09707719624518955,1.2.7.1 - 4.1.1.31
rTCA,0.04223208761693301,1.2.7.1 - 4.2.1.2
rTCA,-0.17510686096051736,1.2.7.1 - 4.2.1.3
rTCA,-0.275146219897415,1.2.7.1 - 6.2.1.5
rTCA,-0.08082016606203625,1.2.7.1 - 6.4.1.1
rTCA,-0.07418008564193257,1.3.1.6 - 1.3.5.1
rTCA,-0.04706008105370462,1.3.1.6 - 1.3.5.4
rTCA,0.010759790849408724,1.3.1.6 - 2.3.3.8
rTCA,0.15330116490807436,1.3.1.6 - 2.7.9.1
rTCA,0.24342503869556667,1.3.1.6 - 2.7.9.2
rTCA,-0.24283351799986097,1.3.1.6 - 4.1.1.31
rTCA,-0.1437745941547649,1.3.1.6 - 4.2.1.2
rTCA,-0.08124711767646059,1.3.1.6 - 4.2.1.3
rTCA,0.16934550753024685,1.3.1.6 - 6.2.1.5
rTCA,0.3030523082931741,1.3.1.6 - 6.4.1.1
rTCA,-0.1768801659754015,1.3.5.1 - 1.3.5.4
rTCA,0.06359067113516119,1.3.5.1 - 2.3.3.8
rTCA,-0.37091218741907245,1.3.5.1 - 2.7.9.1
rTCA,0.2801379916228954,1.3.5.1 - 2.7.9.2
rTCA,0.22100855217348192,1.3.5.1 - 4.1.1.31
rTCA,0.22250142413717175,1.3.5.1 - 4.2.1.2
rTCA,0.2721714630637829,1.3.5.1 - 4.2.1.3
rTCA,0.7408525407965069,1.3.5.1 - 6.2.1.5
rTCA,0.08351486523652205,1.3.5.1 - 6.4.1.1
rTCA,-0.03712600069467929,1.3.5.4 - 2.3.3.8
rTCA,-0.3133659132195491,1.3.5.4 - 2.7.9.1
rTCA,-0.26922156360974914,1.3.5.4 - 2.7.9.2
rTCA,-0.09879150461940295,1.3.5.4 - 4.1.1.31
rTCA,-0.3456951969907256,1.3.5.4 - 4.2.1.2
rTCA,-0.4317228643634359,1.3.5.4 - 4.2.1.3
rTCA,-0.19975972497389877,1.3.5.4 - 6.2.1.5
rTCA,-0.1645688572668721,1.3.5.4 - 6.4.1.1
rTCA,-0.10342992726806048,2.3.3.8 - 2.7.9.1
rTCA,0.20337603358617118,2.3.3.8 - 2.7.9.2
rTCA,-0.1473173169263504,2.3.3.8 - 4.1.1.31
rTCA,-0.1438925614048709,2.3.3.8 - 4.2.1.2
rTCA,0.40328994864450646,2.3.3.8 - 4.2.1.3
rTCA,0.2633279908040971,2.3.3.8 - 6.2.1.5
rTCA,0.14857471019273294,2.3.3.8 - 6.4.1.1
rTCA,-0.40768807832732545,2.7.9.1 - 2.7.9.2
rTCA,-0.3047996000653314,2.7.9.1 - 4.1.1.31
rTCA,-0.053686477957042955,2.7.9.1 - 4.2.1.2
rTCA,0.06421735249401686,2.7.9.1 - 4.2.1.3
rTCA,-0.12268493014483316,2.7.9.1 - 6.2.1.5
rTCA,-0.13951174002809136,2.7.9.1 - 6.4.1.1
rTCA,0.1521633402901683,2.7.9.2 - 4.1.1.31
rTCA,-0.023912973662079274,2.7.9.2 - 4.2.1.2
rTCA,0.08819535546378446,2.7.9.2 - 4.2.1.3
rTCA,0.19649311251518412,2.7.9.2 - 6.2.1.5
rTCA,0.20180638070533477,2.7.9.2 - 6.4.1.1
rTCA,0.1266579004465993,4.1.1.31 - 4.2.1.2
rTCA,0.06825367615278226,4.1.1.31 - 4.2.1.3
rTCA,-0.11257128572102203,4.1.1.31 - 6.2.1.5
rTCA,-0.11620378817546805,4.1.1.31 - 6.4.1.1
rTCA,0.1198529223105695,4.2.1.2 - 4.2.1.3
rTCA,0.15567606357344657,4.2.1.2 - 6.2.1.5
rTCA,0.42861134531864714,4.2.1.2 - 6.4.1.1
rTCA,0.5168167738788259,4.2.1.3 - 6.2.1.5
rTCA,-0.09675689117082795,4.2.1.3 - 6.4.1.1
rTCA,0.3423730249981539,6.2.1.5 - 6.4.1.1
3HBC,-0.24278760666722105,1.2.1.75 - 1.3.1.84
3HBC,-0.15280014170689196,1.2.1.75 - 1.3.5.1
3HBC,-0.1335732516908683,1.2.1.75 - 4.1.3.24
3HBC,0.008795515586768941,1.2.1.75 - 4.1.3.25
3HBC,0.8904024423394841,1.2.1.75 - 4.2.1.116
3HBC,-0.010109067064091835,1.2.1.75 - 4.2.1.2
3HBC,-0.14470602970166074,1.2.1.75 - 5.1.99.1
3HBC,0.18009711215742186,1.2.1.75 - 5.4.99.2
3HBC,-0.4261737993138922,1.2.1.75 - 6.4.1.2
3HBC,-0.09557763118116641,1.2.1.75 - 6.4.1.3
3HBC,0.24911547994112407,1.3.1.84 - 1.3.5.1
3HBC,0.2874257769384472,1.3.1.84 - 4.1.3.24
3HBC,0.055725357005104774,1.3.1.84 - 4.1.3.25
3HBC,-0.27151353134536393,1.3.1.84 - 4.2.1.116
3HBC,0.16068629860384967,1.3.1.84 - 4.2.1.2
3HBC,0.24667416978408435,1.3.1.84 - 5.1.99.1
3HBC,0.12800309021000372,1.3.1.84 - 5.4.99.2
3HBC,0.16008981875639877,1.3.1.84 - 6.4.1.2
3HBC,0.3709877533618854,1.3.1.84 - 6.4.1.3
3HBC,0.30540651701522026,1.3.5.1 - 4.1.3.24
3HBC,-0.1724710062080216,1.3.5.1 - 4.1.3.25
3HBC,-0.13309847679603787,1.3.5.1 - 4.2.1.116
3HBC,0.22250142413717175,1.3.5.1 - 4.2.1.2
3HBC,-0.1777948482101285,1.3.5.1 - 5.1.99.1
3HBC,0.20181010696789184,1.3.5.1 - 5.4.99.2
3HBC,0.27641817756217163,1.3.5.1 - 6.4.1.2
3HBC,0.24601666476841602,1.3.5.1 - 6.4.1.3
3HBC,-0.07060151408320403,4.1.3.24 - 4.1.3.25
3HBC,-0.08264102361613225,4.1.3.24 - 4.2.1.116
3HBC,0.20752876871981926,4.1.3.24 - 4.2.1.2
3HBC,0.6144522449532007,4.1.3.24 - 5.1.99.1
3HBC,0.24474171429592725,4.1.3.24 - 5.4.99.2
3HBC,-0.045192788627694,4.1.3.24 - 6.4.1.2
3HBC,0.5055407262019735,4.1.3.24 - 6.4.1.3
3HBC,0.060921942534394743,4.1.3.25 - 4.2.1.116
3HBC,-0.030021569210817722,4.1.3.25 - 4.2.1.2
3HBC,-0.0656453794096099,4.1.3.25 - 5.1.99.1
3HBC,0.27848914846616424,4.1.3.25 - 5.4.99.2
3HBC,0.009454682087509346,4.1.3.25 - 6.4.1.2
3HBC,-0.041190584179604944,4.1.3.25 - 6.4.1.3
3HBC,-0.024135663703921898,4.2.1.116 - 4.2.1.2
3HBC,-0.13680025631988654,4.2.1.116 - 5.1.99.1
3HBC,0.1960844176738793,4.2.1.116 - 5.4.99.2
3HBC,-0.5083523127097914,4.2.1.116 - 6.4.1.2
3HBC,-0.14869416716219422,4.2.1.116 - 6.4.1.3
3HBC,-0.07214884901553237,4.2.1.2 - 5.1.99.1
3HBC,0.18606849572276152,4.2.1.2 - 5.4.99.2
3HBC,0.1068541420492057,4.2.1.2 - 6.4.1.2
3HBC,0.31795494170844696,4.2.1.2 - 6.4.1.3
3HBC,-0.0630527190480294,5.1.99.1 - 5.4.99.2
3HBC,-0.30743724067617134,5.1.99.1 - 6.4.1.2
3HBC,0.20768976539446035,5.1.99.1 - 6.4.1.3
3HBC,-0.10481832190451516,5.4.99.2 - 6.4.1.2
3HBC,0.5224465333586186,5.4.99.2 - 6.4.1.3
3HBC,0.21504528534685077,6.4.1.2 - 6.4.1.3
HPHB,-0.2681232977152599,1.1.1.35 - 1.2.1.75
HPHB,0.3034753576458196,1.1.1.35 - 1.3.1.84
HPHB,0.752365789626897,1.1.1.35 - 2.3.1.9
HPHB,-0.22752451719056885,1.1.1.35 - 4.2.1.116
HPHB,0.6802017836054274,1.1.1.35 - 4.2.1.17
HPHB,0.009189086658641897,1.1.1.35 - 5.1.99.1
HPHB,-0.09243521554233995,1.1.1.35 - 5.3.3.3
HPHB,0.1988914117644146,1.1.1.35 - 5.4.99.2
HPHB,0.0015201200280295713,1.1.1.35 - 6.4.1.2
HPHB,0.527050571824967,1.1.1.35 - 6.4.1.3
HPHB,-0.24278760666722105,1.2.1.75 - 1.3.1.84
HPHB,-0.195567899442346,1.2.1.75 - 2.3.1.9
HPHB,0.8904024423394841,1.2.1.75 - 4.2.1.116
HPHB,-0.17573089143855838,1.2.1.75 - 4.2.1.17
HPHB,-0.14470602970166074,1.2.1.75 - 5.1.99.1
HPHB,0.08690576750414719,1.2.1.75 - 5.3.3.3
HPHB,0.18009711215742186,1.2.1.75 - 5.4.99.2
